country,year,suicides_no
Luxembourg,2008,43
Luxembourg,2009,48
Luxembourg,2010,54
Luxembourg,2011,55
Luxembourg,2012,51
Luxembourg,2013,40
Luxembourg,2014,67
Luxembourg,2015,64
Macau,1994,27
Maldives,2000,0
Maldives,2001,3
Maldives,2002,3
Maldives,2003,4
Maldives,2004,1
Maldives,2005,1
Maldives,2007,5
Maldives,2008,0
Maldives,2010,1
Maldives,2011,2
Malta,1985,2
Malta,1986,1
Malta,1987,1
Malta,1988,9
Malta,1989,23
Malta,1990,8
Malta,1991,10
Malta,1992,18
Malta,1993,16
Malta,1994,15
Malta,1995,17
Malta,1996,10
Malta,1997,15
Malta,1998,12
Malta,1999,27
Malta,2000,23
Malta,2001,30
Malta,2002,19
Malta,2003,20
Malta,2004,24
Malta,2005,19
Malta,2006,26
Malta,2007,26
Malta,2008,14
Malta,2009,36
Malta,2010,31
Malta,2011,20
Malta,2012,25
Malta,2013,22
Malta,2014,32
Malta,2015,34
Mauritius,1985,104
Mauritius,1986,28
Mauritius,1987,140
Mauritius,1988,167
Mauritius,1989,144
Mauritius,1990,147
Mauritius,1991,137
Mauritius,1992,146
Mauritius,1993,138
Mauritius,1994,129
Mauritius,1995,147
Mauritius,1996,153
Mauritius,1997,122
Mauritius,1998,155
Mauritius,1999,174
Mauritius,2000,137
Mauritius,2001,113
Mauritius,2002,131
Mauritius,2003,88
Mauritius,2004,97
Mauritius,2005,102
Mauritius,2006,118
Mauritius,2007,127
Mauritius,2008,84
Mauritius,2009,115
Mauritius,2010,98
Mauritius,2011,118
Mauritius,2012,115
Mauritius,2013,98
Mauritius,2014,120
Mauritius,2015,104
Mauritius,2016,98
Mexico,1985,1544
Mexico,1986,1714
Mexico,1987,1701
Mexico,1988,1703
Mexico,1989,1865
Mexico,1990,1926
Mexico,1991,2103
Mexico,1992,2237
Mexico,1993,2342
Mexico,1994,2588
Mexico,1995,2877
Mexico,1996,3008
Mexico,1997,3350
Mexico,1998,3312
Mexico,1999,3327
Mexico,2000,3456
Mexico,2001,3760
Mexico,2002,3826
Mexico,2003,4070
Mexico,2004,4056
Mexico,2005,4274
Mexico,2006,4230
Mexico,2007,4285
Mexico,2008,4642
Mexico,2009,5023
Mexico,2010,4858
Mexico,2011,5558
Mexico,2012,5381
Mexico,2013,5711
Mexico,2014,6178
Mexico,2015,6234
Mongolia,2016,423
Montenegro,2000,0
Montenegro,2001,0
Montenegro,2002,0
Montenegro,2003,0
Montenegro,2004,0
Montenegro,2005,118
Montenegro,2006,0
Montenegro,2007,121
Montenegro,2008,126
Montenegro,2009,107
Netherlands,1985,1638
Netherlands,1986,1604
Netherlands,1987,1616
Netherlands,1988,1523
Netherlands,1989,1520
Netherlands,1990,1450
Netherlands,1991,1611
Netherlands,1992,1587
Netherlands,1993,1555
Netherlands,1994,1584
Netherlands,1995,1511
Netherlands,1996,1577
Netherlands,1997,1572
Netherlands,1998,1519
Netherlands,1999,1519
Netherlands,2000,1501
Netherlands,2001,1474
Netherlands,2002,1570
Netherlands,2003,1502
Netherlands,2004,1514
Netherlands,2005,1574
Netherlands,2006,1525
Netherlands,2007,1354
Netherlands,2008,1439
Netherlands,2009,1530
Netherlands,2010,1604
Netherlands,2011,1650
Netherlands,2012,1756
Netherlands,2013,1856
Netherlands,2014,1839
Netherlands,2015,1873
Netherlands,2016,1886
New Zealand,1985,338
New Zealand,1986,414
New Zealand,1987,463
New Zealand,1988,484
New Zealand,1989,465
New Zealand,1990,455
New Zealand,1991,474
New Zealand,1992,493
New Zealand,1993,443
New Zealand,1994,512
New Zealand,1995,545
New Zealand,1996,540
New Zealand,1997,562
New Zealand,1998,574
New Zealand,1999,516
New Zealand,2000,458
New Zealand,2001,508
New Zealand,2002,467
New Zealand,2003,519
New Zealand,2004,495
New Zealand,2005,514
New Zealand,2006,527
New Zealand,2007,494
New Zealand,2008,520
New Zealand,2009,512
New Zealand,2010,536
New Zealand,2011,493
New Zealand,2012,549
New Zealand,2013,513
Nicaragua,2010,351
Nicaragua,2011,369
Nicaragua,2012,316
Nicaragua,2013,351
Nicaragua,2014,311
Nicaragua,2015,315
Norway,1986,579
Norway,1987,649
Norway,1988,708
Norway,1989,660
Norway,1990,659
Norway,1991,675
Norway,1992,616
Norway,1993,590
Norway,1994,531
Norway,1995,548
Norway,1996,517
Norway,1997,533
Norway,1998,548
Norway,1999,583
Norway,2000,541
Norway,2001,549
Norway,2002,494
Norway,2003,502
Norway,2004,529
Norway,2005,533
Norway,2006,532
Norway,2007,485
Norway,2008,505
Norway,2009,573
Norway,2010,548
Norway,2011,598
Norway,2012,515
Norway,2013,554
Norway,2014,548
Norway,2015,590
Oman,2009,13
Oman,2010,13
Oman,2014,7
Panama,1985,56
Panama,1986,82
Panama,1987,85
Panama,1988,87
Panama,1989,70
Panama,1996,113
Panama,1997,145
Panama,1998,148
Panama,1999,143
Panama,2000,143
Panama,2001,162
Panama,2002,160
Panama,2003,195
Panama,2004,186
Panama,2005,172
Panama,2006,185
Panama,2007,171
Panama,2008,186
Panama,2009,177
Panama,2010,151
Panama,2011,144
Panama,2012,135
Panama,2013,130
Panama,2014,147
Panama,2015,110
Paraguay,1985,63
Paraguay,1986,56
Paraguay,1987,62
Paraguay,1989,67
Paraguay,1990,99
Paraguay,1991,75
Paraguay,1994,108
Paraguay,1995,118
Paraguay,1996,99
Paraguay,1997,126
Paraguay,1998,138
Paraguay,1999,161
Paraguay,2000,154
Paraguay,2001,152
Paraguay,2002,177
Paraguay,2003,174
Paraguay,2004,234
Paraguay,2005,239
Paraguay,2006,251
Paraguay,2007,227
Paraguay,2008,222
Paraguay,2009,283
Paraguay,2010,223
Paraguay,2011,298
Paraguay,2012,275
Paraguay,2013,323
Paraguay,2014,379
Philippines,1992,347
Philippines,1993,846
Philippines,1997,814
Philippines,1998,883
Philippines,1999,1043
Philippines,2000,1403
Philippines,2001,1204
Philippines,2002,1301
Philippines,2003,1544
Philippines,2006,1788
Philippines,2007,1698
Philippines,2008,1820
Philippines,2009,2074
Philippines,2010,2116
Philippines,2011,2449
Poland,1990,4970
Poland,1991,5316
Poland,1992,5713
Poland,1993,5624
Poland,1994,5519
Poland,1995,5499
Poland,1996,5446
Poland,1999,5779
Poland,2000,5841
Poland,2001,5855
Poland,2002,5925
Poland,2003,5836
Poland,2004,6072
Poland,2005,6045
Poland,2006,5805
Poland,2007,5284
Poland,2008,5682
Poland,2009,6477
Poland,2010,6357
Poland,2011,6113
Poland,2012,6368
Poland,2013,6218
Poland,2014,5934
Poland,2015,5420
Portugal,1985,983
Portugal,1986,941
Portugal,1987,960
Portugal,1988,819
Portugal,1989,747
Portugal,1990,870
Portugal,1991,942
Portugal,1992,866
Portugal,1993,780
Portugal,1994,762
Portugal,1995,809
Portugal,1996,653
Portugal,1997,628
Portugal,1998,556
Portugal,1999,545
Portugal,2000,524
Portugal,2001,761
Portugal,2002,1210
Portugal,2003,1156
Portugal,2007,1020
Portugal,2008,1038
Portugal,2009,1025
Portugal,2010,1099
Portugal,2011,1017
Portugal,2012,1076
Portugal,2013,1052
Portugal,2014,1222
Puerto Rico,1985,269
Puerto Rico,1986,310
Puerto Rico,1987,272
Puerto Rico,1988,314
Puerto Rico,1989,327
Puerto Rico,1990,371
Puerto Rico,1991,355
Puerto Rico,1992,314
Puerto Rico,1993,345
Puerto Rico,1994,355
Puerto Rico,1995,289
Puerto Rico,1996,331
Puerto Rico,1997,273
Puerto Rico,1998,321
Puerto Rico,1999,289
Puerto Rico,2000,305
Puerto Rico,2001,289
Puerto Rico,2002,239
Puerto Rico,2003,262
Puerto Rico,2004,279
Puerto Rico,2005,289
Puerto Rico,2006,265
Puerto Rico,2007,271
Puerto Rico,2008,300
Puerto Rico,2009,330
Puerto Rico,2010,286
Puerto Rico,2011,258
Puerto Rico,2012,248
Puerto Rico,2013,241
Puerto Rico,2014,220
Puerto Rico,2015,226
Qatar,1995,0
Qatar,2001,23
Qatar,2004,21
Qatar,2005,17
Qatar,2006,29
Qatar,2007,41
Qatar,2008,33
Qatar,2009,44
Qatar,2010,47
Qatar,2011,50
Qatar,2012,43
Qatar,2013,37
Qatar,2014,55
Qatar,2015,66
Qatar,2016,68
North Korea,1985,3689
North Korea,1986,3458
North Korea,1987,3301
North Korea,1988,2949
North Korea,1989,3023
North Korea,1990,3159
North Korea,1991,3069
North Korea,1992,3533
North Korea,1993,4124
North Korea,1994,4212
North Korea,1995,4841
North Korea,1996,5857
North Korea,1997,6024
North Korea,1998,8569
North Korea,1999,7075
North Korea,2000,6444
North Korea,2001,6911
North Korea,2002,8611
North Korea,2003,10898
North Korea,2004,11492
North Korea,2005,12011
North Korea,2006,10653
North Korea,2007,12174
North Korea,2008,12858
North Korea,2009,15402
North Korea,2010,15558
North Korea,2011,15906
North Korea,2012,14159
North Korea,2013,14426
North Korea,2014,13834
North Korea,2015,13510
Romania,1989,2529
Romania,1990,2079
Romania,1991,2161
Romania,1992,2650
Romania,1993,2774
Romania,1994,2887
Romania,1995,2793
Romania,1996,2828
Romania,1997,2859
Romania,1998,2838
Romania,1999,2736
Romania,2000,2836
Romania,2001,2720
Romania,2002,3067
Romania,2003,2894
Romania,2004,2720
Romania,2005,2603
Romania,2006,2721
Romania,2007,2430
Romania,2008,2472
Romania,2009,2586
Romania,2010,2766
Romania,2011,2536
Romania,2012,2495
Romania,2013,2407
Romania,2014,2209
Romania,2015,2228
Romania,2016,1953
Russia,1989,37921
Russia,1990,39028
Russia,1991,39281
Russia,1992,45923
Russia,1993,55846
Russia,1994,61420
Russia,1995,60548
Russia,1996,57511
Russia,1997,54746
Russia,1998,51518
Russia,1999,56974
Russia,2000,56619
Russia,2001,56958
Russia,2002,55024
Russia,2003,51445
Russia,2004,49096
Russia,2005,45802
Russia,2006,42614
Russia,2007,41149
Russia,2008,38211
Russia,2009,37408
Russia,2010,33356
Russia,2011,31038
Russia,2012,29643
Russia,2013,28690
Russia,2014,26541
Russia,2015,25432
Saint Kitts and Nevis,1990,0
Saint Kitts and Nevis,1991,0
Saint Kitts and Nevis,1992,0
Saint Lucia,1986,5
Saint Lucia,1987,11
Saint Lucia,1988,10
Saint Lucia,1989,8
Saint Lucia,1990,3
Saint Lucia,1991,6
Saint Lucia,1992,11
Saint Lucia,1993,8
Saint Lucia,1994,6
Saint Lucia,1995,10
Saint Lucia,1996,7
Saint Lucia,1997,9
Saint Lucia,1998,8
Saint Lucia,1999,8
Saint Lucia,2000,14
Saint Lucia,2001,7
Saint Lucia,2002,12
Saint Lucia,2003,10
Saint Lucia,2004,8
Saint Lucia,2005,4
Saint Lucia,2006,2
Saint Lucia,2008,0
Saint Lucia,2009,13
Saint Lucia,2010,4
Saint Lucia,2011,8
Saint Lucia,2012,10
Saint Lucia,2013,14
Saint Lucia,2014,14
Saint Vincent and Grenadines,1985,2
Saint Vincent and Grenadines,1986,0
Saint Vincent and Grenadines,1987,0
Saint Vincent and Grenadines,1990,5
Saint Vincent and Grenadines,1995,7
Saint Vincent and Grenadines,1996,8
Saint Vincent and Grenadines,1997,3
Saint Vincent and Grenadines,1998,10
Saint Vincent and Grenadines,1999,6
Saint Vincent and Grenadines,2000,5
Saint Vincent and Grenadines,2001,8
Saint Vincent and Grenadines,2002,7
Saint Vincent and Grenadines,2003,4
Saint Vincent and Grenadines,2004,4
Saint Vincent and Grenadines,2005,8
Saint Vincent and Grenadines,2006,6
Saint Vincent and Grenadines,2007,11
Saint Vincent and Grenadines,2008,4
Saint Vincent and Grenadines,2009,1
Saint Vincent and Grenadines,2010,5
Saint Vincent and Grenadines,2011,5
Saint Vincent and Grenadines,2012,10
Saint Vincent and Grenadines,2013,0
Saint Vincent and Grenadines,2014,2
Saint Vincent and Grenadines,2015,3
San Marino,1999,2
San Marino,2000,1
San Marino,2005,1
Serbia,1998,1460
Serbia,1999,1571
Serbia,2000,1543
Serbia,2001,1442
Serbia,2002,1446
Serbia,2003,1378
Serbia,2004,1345
Serbia,2005,1437
Serbia,2006,1443
Serbia,2007,1353
Serbia,2008,1289
Serbia,2009,1373
Serbia,2010,1207
Serbia,2011,1256
Serbia,2012,1243
Serbia,2013,1197
Serbia,2014,1134
Serbia,2015,1062
Seychelles,1985,8
Seychelles,1986,1
Seychelles,1987,3
Seychelles,2001,6
Seychelles,2002,5
Seychelles,2003,8
Seychelles,2004,6
Seychelles,2005,5
Seychelles,2006,8
Seychelles,2007,6
Seychelles,2008,4
Seychelles,2009,4
Seychelles,2010,6
Seychelles,2011,5
Seychelles,2012,3
Seychelles,2013,9
Seychelles,2014,4
Seychelles,2015,7
Singapore,1985,324
Singapore,1986,326
Singapore,1987,301
Singapore,1988,366
Singapore,1989,394
Singapore,1990,354
Singapore,1991,296
Singapore,1992,277
Singapore,1993,270
Singapore,1994,316
Singapore,1995,364
Singapore,1996,239
Singapore,1997,303
Singapore,1998,328
Singapore,1999,277
Singapore,2000,309
Singapore,2001,305
Singapore,2002,321
Singapore,2003,320
Singapore,2004,335
Singapore,2005,359
Singapore,2006,372
Singapore,2007,328
Singapore,2008,319
Singapore,2009,349
Singapore,2010,296
Singapore,2011,308
Singapore,2012,392
Singapore,2013,357
Singapore,2014,355
Singapore,2015,329
Slovakia,1992,796
Slovakia,1993,738
Slovakia,1994,691
Slovakia,1995,735
Slovakia,1996,672
Slovakia,1997,630
Slovakia,1998,673
Slovakia,1999,692
Slovakia,2000,729
Slovakia,2001,692
Slovakia,2002,717
Slovakia,2003,753
Slovakia,2004,676
Slovakia,2005,679
Slovakia,2006,0
Slovakia,2007,0
Slovakia,2008,591
Slovakia,2009,601
Slovakia,2010,631
Slovakia,2012,571
Slovakia,2013,616
Slovakia,2014,554
Slovenia,1995,564
Slovenia,1996,607
Slovenia,1997,593
Slovenia,1998,612
Slovenia,1999,590
Slovenia,2000,588
Slovenia,2001,581
Slovenia,2002,540
Slovenia,2003,562
Slovenia,2004,512
Slovenia,2005,503
Slovenia,2006,529
Slovenia,2007,434
Slovenia,2008,408
Slovenia,2009,447
Slovenia,2010,414
Slovenia,2011,435
Slovenia,2012,440
Slovenia,2013,446
Slovenia,2014,388
Slovenia,2015,422
South Africa,1996,143
South Africa,1997,104
South Africa,1998,180
South Africa,1999,279
South Africa,2000,267
South Africa,2001,384
South Africa,2002,236
South Africa,2003,256
South Africa,2004,383
South Africa,2005,458
South Africa,2006,514
South Africa,2007,417
South Africa,2008,441
South Africa,2009,372
South Africa,2010,393
South Africa,2011,358
South Africa,2012,487
South Africa,2013,587
South Africa,2014,580
South Africa,2015,482
Spain,1985,2514
Spain,1986,2755
Spain,1987,2804
Spain,1988,2960
Spain,1989,2987
Spain,1990,2939
Spain,1991,2916
Spain,1992,2786
Spain,1993,3037
Spain,1994,3171
Spain,1995,3157
Spain,1996,3320
Spain,1997,3373
Spain,1998,3261
Spain,1999,3220
Spain,2000,3394
Spain,2001,3189
Spain,2002,3372
Spain,2003,3478
Spain,2004,3508
Spain,2005,3399
Spain,2006,3247
Spain,2007,3264
Spain,2008,3457
Spain,2009,3429
Spain,2010,3158
Spain,2011,3180
Spain,2012,3539
Spain,2013,3873
Spain,2014,3911
Spain,2015,3604
Sri Lanka,1985,5668
Sri Lanka,1986,5345
Sri Lanka,1996,4898
Sri Lanka,1997,5887
Sri Lanka,1998,5518
Sri Lanka,1999,5619
Sri Lanka,2000,5252
Sri Lanka,2001,4590
Sri Lanka,2002,4382
Sri Lanka,2003,4467
Sri Lanka,2006,4015
Suriname,1985,80
Suriname,1986,42
Suriname,1987,52
Suriname,1988,49
Suriname,1989,53
Suriname,1990,26
Suriname,1991,57
Suriname,1992,48
Suriname,1995,55
Suriname,1996,21
Suriname,1997,32
Suriname,1998,29
Suriname,1999,49
Suriname,2000,52
Suriname,2001,72
Suriname,2002,69
Suriname,2003,77
Suriname,2004,67
Suriname,2005,72
Suriname,2006,112
Suriname,2007,119
Suriname,2008,147
Suriname,2009,131
Suriname,2010,136
Suriname,2011,127
Suriname,2012,133
Suriname,2013,131
Suriname,2014,128
Sweden,1987,1541
Sweden,1988,1590
Sweden,1989,1579
Sweden,1990,1471
Sweden,1991,1483
Sweden,1992,1355
Sweden,1993,1373
Sweden,1994,1324
Sweden,1995,1348
Sweden,1996,1253
Sweden,1997,1201
Sweden,1998,1231
Sweden,1999,1220
Sweden,2000,1131
Sweden,2001,1197
Sweden,2002,1180
Sweden,2003,1112
Sweden,2004,1155
Sweden,2005,1219
Sweden,2006,1197
Sweden,2007,1126
Sweden,2008,1170
Sweden,2009,1242
Sweden,2010,1141
Sweden,2011,1112
Sweden,2012,1154
Sweden,2013,1230
Sweden,2014,1148
Sweden,2015,1182
Sweden,2016,1130
Switzerland,1995,1419
Switzerland,1996,1432
Switzerland,1997,1341
Switzerland,1998,1371
Switzerland,1999,1296
Switzerland,2000,1380
Switzerland,2001,1338
Switzerland,2002,1446
Switzerland,2003,1269
Switzerland,2004,1284
Switzerland,2005,1299
Switzerland,2006,1309
Switzerland,2007,1360
Switzerland,2008,1314
Switzerland,2009,1105
Switzerland,2010,1006
Switzerland,2011,1034
Switzerland,2012,1038
Switzerland,2013,1071
Switzerland,2014,1032
Switzerland,2015,1073
Thailand,1985,2982
Thailand,1986,2798
Thailand,1987,3035
Thailand,1990,3753
Thailand,1991,3559
Thailand,1992,3550
Thailand,1994,2307
Thailand,1995,4245
Thailand,1996,4443
Thailand,1997,4150
Thailand,1998,4963
Thailand,1999,5276
Thailand,2000,5182
Thailand,2002,4902
Thailand,2003,4484
Thailand,2004,4296
Thailand,2005,3937
Thailand,2006,3608
Thailand,2007,3754
Thailand,2008,3778
Thailand,2009,3787
Thailand,2010,3761
Thailand,2011,3873
Thailand,2012,3985
Thailand,2013,3961
Thailand,2014,3952
Thailand,2015,4205
Thailand,2016,4117
Trinidad and Tobago,1985,29
Trinidad and Tobago,1986,104
Trinidad and Tobago,1987,119
Trinidad and Tobago,1988,164
Trinidad and Tobago,1989,173
Trinidad and Tobago,1990,170
Trinidad and Tobago,1991,148
Trinidad and Tobago,1992,163
Trinidad and Tobago,1993,174
Trinidad and Tobago,1994,148
Trinidad and Tobago,1995,184
Trinidad and Tobago,1996,146
Trinidad and Tobago,1997,160
Trinidad and Tobago,1998,171
Trinidad and Tobago,1999,139
Trinidad and Tobago,2000,166
Trinidad and Tobago,2001,179
Trinidad and Tobago,2002,156
Trinidad and Tobago,2003,144
Trinidad and Tobago,2004,168
Trinidad and Tobago,2005,136
Trinidad and Tobago,2006,141
Trinidad and Tobago,2007,131
Trinidad and Tobago,2008,199
Trinidad and Tobago,2009,128
Trinidad and Tobago,2010,160
Trinidad and Tobago,2011,139
Turkey,2009,1050
Turkey,2010,1524
Turkey,2011,1148
Turkey,2012,1450
Turkey,2013,1810
Turkey,2014,1617
Turkey,2015,1532
Turkmenistan,1987,272
Turkmenistan,1988,270
Turkmenistan,1989,253
Turkmenistan,1990,298
Turkmenistan,1991,273
Turkmenistan,1992,271
Turkmenistan,1993,240
Turkmenistan,1994,234
Turkmenistan,1995,244
Turkmenistan,1996,283
Turkmenistan,1997,333
Turkmenistan,1998,405
Turkmenistan,1999,442
Turkmenistan,2000,383
Turkmenistan,2001,445
Turkmenistan,2002,416
Turkmenistan,2003,377
Turkmenistan,2004,392
Turkmenistan,2005,468
Turkmenistan,2006,506
Turkmenistan,2007,354
Turkmenistan,2008,484
Turkmenistan,2009,165
Turkmenistan,2010,178
Turkmenistan,2011,130
Turkmenistan,2012,138
Turkmenistan,2013,101
Turkmenistan,2014,136
Turkmenistan,2015,133
Ukraine,1987,10050
Ukraine,1988,9751
Ukraine,1989,10887
Ukraine,1990,10645
Ukraine,1991,10700
Ukraine,1992,11666
Ukraine,1993,12469
Ukraine,1994,13826
Ukraine,1995,14541
Ukraine,1996,15160
Ukraine,1997,14903
Ukraine,1998,14789
Ukraine,1999,14363
Ukraine,2000,14467
Ukraine,2001,13131
Ukraine,2002,12536
Ukraine,2003,12313
Ukraine,2004,11256
Ukraine,2005,10621
Ukraine,2006,10013
Ukraine,2007,10032
Ukraine,2008,9454
Ukraine,2009,9715
Ukraine,2010,9089
Ukraine,2011,8973
Ukraine,2012,9058
Ukraine,2014,7968
Ukraine,2015,7574
United Arab Emirates,2005,96
United Arab Emirates,2006,90
United Arab Emirates,2007,101
United Arab Emirates,2008,100
United Arab Emirates,2009,124
United Arab Emirates,2010,111
United Kingdom,1985,5105
United Kingdom,1986,4839
United Kingdom,1987,4594
United Kingdom,1988,4971
United Kingdom,1989,4361
United Kingdom,1990,4643
United Kingdom,1991,4547
United Kingdom,1992,4628
United Kingdom,1993,4462
United Kingdom,1994,4380
United Kingdom,1995,4315
United Kingdom,1996,4165
United Kingdom,1997,4143
United Kingdom,1998,4389
United Kingdom,1999,4448
United Kingdom,2000,4290
United Kingdom,2001,4128
United Kingdom,2002,4117
United Kingdom,2003,3979
United Kingdom,2004,4183
United Kingdom,2005,4047
United Kingdom,2006,4122
United Kingdom,2007,3897
United Kingdom,2008,4259
United Kingdom,2009,4246
United Kingdom,2010,4188
United Kingdom,2011,4393
United Kingdom,2012,4444
United Kingdom,2013,4824
United Kingdom,2014,4788
United Kingdom,2015,4910
United States of America,1985,29446
United States of America,1986,30892
United States of America,1987,30783
United States of America,1988,30388
United States of America,1989,30218
United States of America,1990,30895
United States of America,1991,30790
United States of America,1992,30471
United States of America,1993,31084
United States of America,1994,31123
United States of America,1995,31272
United States of America,1996,30879
United States of America,1997,30517
United States of America,1998,30558
United States of America,1999,29183
United States of America,2000,29343
United States of America,2001,30607
United States of America,2002,31645
United States of America,2003,31477
United States of America,2004,32428
United States of America,2005,32629
United States of America,2006,33292
United States of America,2007,34596
United States of America,2008,36030
United States of America,2009,36900
United States of America,2010,38362
United States of America,2011,39508
United States of America,2012,40596
United States of America,2013,41143
United States of America,2014,42769
United States of America,2015,44189
Uruguay,1985,287
Uruguay,1986,262
Uruguay,1987,258
Uruguay,1988,268
Uruguay,1989,344
Uruguay,1990,315
Uruguay,1993,418
Uruguay,1994,406
Uruguay,1995,427
Uruguay,1996,393
Uruguay,1997,456
Uruguay,1998,521
Uruguay,1999,450
Uruguay,2000,555
Uruguay,2001,499
Uruguay,2002,675
Uruguay,2003,535
Uruguay,2004,520
Uruguay,2005,498
Uruguay,2006,528
Uruguay,2007,576
Uruguay,2008,523
Uruguay,2009,511
Uruguay,2010,547
Uruguay,2012,599
Uruguay,2013,546
Uruguay,2014,591
Uruguay,2015,630
Uzbekistan,1990,1459
Uzbekistan,1991,1393
Uzbekistan,1992,1344
Uzbekistan,1993,1355
Uzbekistan,1994,1419
Uzbekistan,1995,1485
Uzbekistan,1996,1699
Uzbekistan,1997,1554
Uzbekistan,1998,1620
Uzbekistan,1999,1795
Uzbekistan,2000,1919
Uzbekistan,2001,1914
Uzbekistan,2002,1576
Uzbekistan,2003,1416
Uzbekistan,2004,1251
Uzbekistan,2005,1221
Uzbekistan,2009,1399
Uzbekistan,2010,1464
Uzbekistan,2011,1640
Uzbekistan,2012,1835
Uzbekistan,2013,1950
Uzbekistan,2014,2095
